,kata
37,"['salah', 'satu', 'yang', 'ditetapkan', 'tersangka', 'adalah', 'kabag', 'ops', 'polres', 'malang', 'wahyu', 's']"
38,"['wahyu', 'disebut', 'mengetahui', 'terkait', 'adanya', 'aturan', 'fifa', 'tentang', 'penggunaan', 'gas', 'air', 'mata', 'tapi', 'tidak', 'mencegah', 'atau', 'melarang', 'pemakaian', 'gas', 'air', 'mata']"
39,"['selain', 'itu', 'danki', 'brimob', 'polda', 'jatim', 'berinisial', 'h', 'menjadi', 'tersangka', 'karena', 'memerintahkan', 'anggotanya', 'menembakkan', 'gas', 'air', 'mata', 'di', 'stadion', 'kanjuruhan']"
40,"['kemudian', 'saudara', 'h', 'brimob', 'polda', 'yang', 'bersangkutan', 'memerintahkan', 'anggotanya', 'untuk', 'melakukan', 'penembakan', 'gas', 'air', 'mata', 'ujar', 'kapolri', 'dalam', 'jumpa', 'pers', 'kamis', '(//)']"
41,"['kasat', 'samapta', 'polres', 'malang', 'bambang', 'sidik', 'achmadi', 'juga', 'menjadi', 'tersangka']"
42,"['dia', 'juga', 'memerintahkan', 'anggotanya', 'menembakkan', 'gas', 'air', 'mata']"
43,"['kasat', 'samapta', 'polres', 'malang', 'pidana', 'pasal', 'pasal', 'memerintahkan', 'anggotanya', 'untuk', 'melakukan', 'penembakan', 'gas', 'air', 'mata', 'ujarnya']"
44,"['kapolri', 'mengatakan', 'panitia', 'pertandingan', 'telah', 'mengirim', 'surat', 'kepada', 'polres', 'malang', 'pada', 'september', 'soal', 'permohonan', 'rekomendasi', 'pertandingan', 'arema', 'fc', 'dan', 'persebaya', 'pada', 'oktober', 'yang', 'akan', 'dilaksanakan', 'pukul']"
45,['wib']
46,"['kemudian', 'polres', 'menanggapi', 'surat', 'dari', 'panpel', 'tersebut', 'dan', 'mengirimkan', 'secara', 'resmi', 'untuk', 'mengubah', 'jadwal', 'pelaksanaan', 'menjadi', 'pukul']"
47,"['waktu', 'indonesia', 'barat', 'dengan', 'pertimbangan', 'faktor', 'keamanan']"
48,"['namun', 'demikian', 'permintaan', 'tersebut', 'ditolak', 'oleh', 'pt', 'lib', 'dengan', 'alasan', 'apabila', 'waktunya', 'digeser', 'tentunya', 'ada', 'pertimbangan', 'yang', 'terkait', 'masalah', 'penayangan', 'langsung', 'ekonomi', 'dan', 'sebagainya', 'yang', 'mengakibatkan', 'dampak', 'yang', 'bisa', 'memunculkan', 'penalti', 'atau', 'ganti', 'rugi', 'ucap', 'sigit']"
49,"['setelah', 'itu', 'polres', 'malang', 'melakukan', 'persiapan', 'pengamanan', 'pertandingan']"
50,"['personel', 'pengamanan', 'pun', 'ditambah', 'dan', 'suporter', 'yang', 'diizinkan', 'menonton', 'hanya', 'suporter', 'arema', 'yaitu', 'aremania']"
51,"['oleh', 'karena', 'itu', 'kemudian', 'kapolres', 'melakukan', 'persiapan', 'untuk', 'melakukan', 'pengamanan', 'dengan', 'melaksanakan', 'berbagai', 'macam', 'rakor', 'dan', 'juga', 'menambah', 'jumlah', 'dari', 'yang', 'semula']"
52,"['personel', 'menjadi']"
53,['personel']
54,"['khusus', 'untuk', 'suporter', 'yang', 'hadir', 'hanya', 'dari', 'suporter', 'arema', 'katanya']"
